Province/State,Country/Region,Lat,Long,1/31/21
,Afghanistan,33.93911,67.709953,55023
,Albania,41.1533,20.1683,78127
,Algeria,28.0339,1.6596,107339
,Andorra,42.5063,1.5218,9937
,Angola,-11.2027,17.8739,19796
,Antigua and Barbuda,17.0608,-61.7964,234
,Argentina,-38.4161,-63.6167,1927239
,Armenia,40.0691,45.0382,167026
Australian Capital Territory,Australia,-35.4735,149.0124,118
New South Wales,Australia,-33.8688,151.2093,5110
Northern Territory,Australia,-12.4634,130.8456,98
Queensland,Australia,-27.4698,153.0251,1310
South Australia,Australia,-34.9285,138.6007,596
Tasmania,Australia,-42.8821,147.3272,234
Victoria,Australia,-37.8136,144.9631,20449
Western Australia,Australia,-31.9505,115.8605,903
,Austria,47.5162,14.5501,414398
,Azerbaijan,40.1431,47.5769,230219
,Bahamas,25.025885,-78.035889,8174
,Bahrain,26.0275,50.55,103057
,Bangladesh,23.685,90.3563,535139
,Barbados,13.1939,-59.5432,1545
,Belarus,53.7098,27.9534,248336
,Belgium,50.8333,4.469936,710153
,Belize,17.1899,-88.4976,11908
,Benin,9.3077,2.3158,3893
,Bhutan,27.5142,90.4336,859
,Bolivia,-16.2902,-63.5887,216835
,Bosnia and Herzegovina,43.9159,17.6791,121497
,Botswana,-22.3285,24.6849,21293
,Brazil,-14.235,-51.9253,9204731
,Brunei,4.5353,114.7277,180
,Bulgaria,42.7339,25.4858,218748
,Burkina Faso,12.2383,-1.5616,10682
,Burma,21.9162,95.956,140145
,Burundi,-3.3731,29.9189,1632
,Cabo Verde,16.5388,-23.0418,14070
,Cambodia,11.55,104.9167,466
,Cameroon,3.848,11.5021,29617
Alberta,Canada,53.9333,-116.5765,124208
British Columbia,Canada,53.7267,-127.6476,66779
Diamond Princess,Canada,0,0,0
Grand Princess,Canada,0,0,13
Manitoba,Canada,53.7609,-98.8139,29564
New Brunswick,Canada,46.5653,-66.4619,1256
Newfoundland and Labrador,Canada,53.1355,-57.6604,408
Northwest Territories,Canada,64.8255,-124.8457,35
Nova Scotia,Canada,44.682,-63.7443,1580
Nunavut,Canada,70.2998,-83.1076,294
Ontario,Canada,51.2538,-85.3232,272917
Prince Edward Island,Canada,46.5107,-63.4168,111
Quebec,Canada,52.9399,-73.5491,262623
Repatriated Travellers,Canada,,,13
Saskatchewan,Canada,52.9399,-106.4509,23864
Yukon,Canada,64.2823,-135,70
,Central African Republic,6.6111,20.9394,4981
,Chad,15.4542,18.7322,3376
,Chile,-35.6751,-71.543,727109
Anhui,China,31.8257,117.2264,994
Beijing,China,40.1824,116.4142,1038
